Ryu☆,I'm so Happy,second heaven (risk junk remix) / ryu☆,8002,6,13,4.6923075,7.3171563738468,0
Bulluvegola,In the Blackest Den,bulluvegola - in the blackest den,1067,0,6,5.0,-20.4557554530287,1
Bulluvegola,In the Blackest Den,beatmania iidx19 lincle in the blackest den[bulluvegola] (another),12738,9,5,5.0,26.2759879061348,0
Bulluvegola,In the Blackest Den,bulluvegola,5597,23,9,4.111111,-2.3127504423647,1
Bulluvegola,In the Blackest Den,"in the blackest den [normal, hyper and another]",205,0,1,1.0,-23.9087758120575,1
Bulluvegola,In the Blackest Den,【beatmaniaiidx lincle】「bulluvegola」（another）,9585,4,4,5.0,13.6548040712825,0
Bulluvegola,In the Blackest Den,bulluvegola(dp anotehr)hard clear,146,0,0,0.0,-24.1451269480028,1
Bulluvegola,In the Blackest Den,beatmaniaiidx19 lincle sp002,1993,4,3,5.0,-16.7465913343767,1
猫叉Master+,Infinite cave,猫叉master+ - backdrops 「infinite cave ＬＯＮＧ」,11883,70,20,5.0,22.8537692532113,1
猫叉Master+,Infinite cave,猫叉master+ - backdrops 「chain of pain ＬＯＮＧ」,9762,66,19,5.0,14.3633924741348,1
猫叉Master+,Infinite cave,infinite cave another 195k,365,0,4,4.0,-23.2678284250175,1
kobo feat. RIO,Into The Sunlight,beatmania iidx19 lincle into the sunlight(another),2498,4,3,5.0,-14.7238749925532,1
kobo feat. RIO,Into The Sunlight,into the sunlight 【kobo feat.rio】_hyper.mp4,164,0,0,0.0,-24.0730197197168,1
kobo feat. RIO,Into The Sunlight,kobo feat. rio - 21. into the sunlight 〔drum & bass〕,11,0,0,0.0,-24.6859340167343,1
Dr.Honda feat. Moe,KYAMISAMA ONEGAI!,beatmania iidx19 lincle kyamisama onegai!(another),9580,15,11,5.0,13.63478732388,1
Dr.Honda feat. Moe,KYAMISAMA ONEGAI!,dr.honda feat. moe - ＫＹＡＭＩＳＡＭＡ ＯＮＥＧＡＩ！,296,0,0,0.0,-23.5442361172928,1
Dr.Honda feat. Moe,KYAMISAMA ONEGAI!,dr.honda feat. moe - 09. kyamisama onegai! 〔トレンディーポップス〕,9,0,0,0.0,-24.6939460112023,1
Katana Sounds,LAX5 feat.Ryota Yoshinari,beatmania iidx19 lincle lax5 feat.ryota yoshinari(another),9935,11,11,4.6363635,15.0559592056825,0
TЁЯRA,LETHEBOLG,beatmania iidx19 lincle lethebolg～双神威に斬り咲けり～(another),592,0,1,5.0,-22.3584964691712,1
TЁЯRA,LETHEBOLG,tЁЯra - lethebolg～双神威に斬り咲けり～,14464,39,26,5.0,33.1838506309632,1
TЁЯRA,LETHEBOLG,beatmania iidx 19 lincle lethebolg～双神威に斬り咲けり～ spn normal,272,0,0,0.0,-23.6403782319872,1
TЁЯRA,LETHEBOLG,lethebolg ～双神威に斬り咲けり～ /tЁЯra｢ЁvolutiΦn｣,2631,0,3,5.0,-14.1911713348663,1
TЁЯRA,LETHEBOLG,lethebolg ～双神威に斬り咲けり～ sph 正規譜面,684,0,0,0.0,-21.9899607044848,1
TЁЯRA,LETHEBOLG,lethebolg ～双神威に斬り咲けり～ dph 正規,85,0,0,0.0,-24.3894909992175,1
TЁЯRA,LETHEBOLG,lethebolg ～双神威に斬り咲けり～ dpn 正規,41,0,0,0.0,-24.5657542324823,1
TЁЯRA,LETHEBOLG,destiny evolved,808,3,5,5.0,-21.4932422910912,1
TЁЯRA,LETHEBOLG,wh1te ro5e,1152,9,10,5.0,-20.1152715384832,1
kmp,Liquid Crystal Girl feat. echo,beatmania iidx19 lincle liquid crystal girl feat. echo(another),2267,5,6,5.0,-15.6491087636687,1
kmp,Liquid Crystal Girl feat. echo,kmp - 10. liquid crystal girl feat.echo 〔electro〕,13,0,0,0.0,-24.6779220233727,1
SWAN K feat. Asuka M,LOVE B.B.B,beatmania iidx19 lincle love bbb(another),5780,18,14,5.0,-1.57994038172,1
SWAN K feat. Asuka M,LOVE B.B.B,swan k feat. asuka m - 23. love bbb 〔drum'n'bass〕,9,0,0,0.0,-24.6939460112023,1
Sota Fujimori feat. Kanako Hoshino,Lucky Days,beatmania iidx19 lincle lucky days(another),7684,7,8,5.0,6.0439382347152,1
Sota Fujimori feat. Kanako Hoshino,Lucky Days,sota fujimori feat. kanako hoshino - 16. lucky days 〔dream trance〕,9,0,0,0.0,-24.6939460112023,1
Remixed by DJ Command,Mermaid girl,【6.6.6】【 lisse 】 mermaid girl -秋葉工房mix- remixed by dj command,215,0,3,2.3333333,-23.8687163929175,1
Remixed by DJ Command,Mermaid girl,remixed by dj command - mermaid girl-秋葉工房mix-,742,13,5,5.0,-21.7576241430012,1
Remixed by DJ Command,Mermaid girl,beatmania iidx19 lincle mermaid girl -秋葉工房mix-(another),22165,39,24,4.8333335,63.9950449767825,0
Remixed by DJ Command,Mermaid girl,[osu!] remixed by dj command - mermaid girl -akiba koubou mix- [another],24,0,0,0.0,-24.6338560796608,1
Remixed by DJ Command,Mermaid girl,remixed by dj command - 18. mermaid girl -秋葉工房mix- 〔euro beat〕,10,0,0,0.0,-24.68994001383,1
Dirty Androids,Miami Sunset Drive,beatmania iidx19 lincle miami sunset drive(another),11238,28,23,5.0,20.2719617273348,1
Dirty Androids,Miami Sunset Drive,[recreation] dirty androids - miami sunset drive,1465,6,4,5.0,-18.8615068229175,1
